0.5 	-14.8585 	-1.38778e-18 	1.00219 	-0.000129888 	1.99328e-23
0.5 	-14.5755 	-7.63278e-18 	1.00221 	-0.000389903 	-4.48138e-23
0.5 	-14.2925 	-6.245e-18 	1.00223 	-0.000651239 	2.99505e-23
0.5 	-14.0095 	-6.93889e-18 	1.00228 	-0.00091486 	-2.21557e-23
0.5 	-13.7266 	-8.67362e-18 	1.00234 	-0.00118155 	8.55405e-24
0.5 	-13.4436 	-9.36751e-18 	1.00241 	-0.00145233 	-3.95362e-24
0.5 	-13.1607 	-1.35308e-17 	1.0025 	-0.00172809 	1.96288e-23
0.5 	-12.8778 	-1.8735e-17 	1.00261 	-0.00200985 	1.94752e-23
0.5 	-12.5949 	-2.32453e-17 	1.00274 	-0.00229861 	5.7488e-25
0.5 	-12.312 	-2.34056e-17 	1.00288 	-0.00259544 	-1.31659e-23
0.5 	-12.0291 	-2.17931e-17 	1.00305 	-0.00290147 	2.05056e-23
0.5 	-11.7462 	-2.16087e-17 	1.00325 	-0.00321786 	-2.62611e-23
0.5 	-11.4634 	-2.12941e-17 	1.00347 	-0.00354585 	2.09764e-23
0.5 	-11.1805 	-1.75967e-17 	1.00372 	-0.00388675 	-3.41619e-24
0.5 	-10.8977 	-1.36607e-17 	1.00401 	-0.00424194 	7.34318e-24
0.5 	-10.6149 	-1.34543e-17 	1.00433 	-0.00461289 	-3.24164e-24
0.5 	-10.3321 	-1.38984e-17 	1.0047 	-0.00500117 	-4.72166e-24
0.5 	-10.0493 	-1.00489e-17 	1.00511 	-0.00540843 	-1.43064e-23
0.5 	-9.76649 	-8.97493e-18 	1.00557 	-0.00583643 	4.94871e-23
0.5 	-9.48372 	-1.27581e-17 	1.00609 	-0.00628706 	5.96941e-23
0.5 	-9.20097 	-1.28116e-17 	1.00668 	-0.00676231 	1.08934e-23
0.5 	-8.91823 	-1.19108e-17 	1.00734 	-0.00726433 	8.84678e-24
0.5 	-8.63551 	-7.71408e-18 	1.00808 	-0.00779537 	9.44949e-23
0.5 	-8.35279 	-2.30293e-18 	1.00892 	-0.00835789 	1.44228e-22
0.5 	-8.0701 	-2.6163e-18 	1.00987 	-0.00895449 	-4.00976e-22
0.5 	-7.78741 	-3.27654e-18 	1.01095 	-0.009588 	8.03816e-22
0.5 	-7.50474 	-3.24282e-18 	1.01216 	-0.0102615 	-2.27172e-22
0.5 	-7.22209 	-2.51514e-18 	1.01353 	-0.0109784 	7.66595e-22
0.5 	-6.93944 	-2.48127e-18 	1.01509 	-0.0117425 	-7.38482e-22
0.5 	-6.65681 	-3.8351e-18 	1.01686 	-0.0125581 	9.55028e-22
0.5 	-6.3742 	-3.1072e-18 	1.01888 	-0.0134302 	-1.42796e-22
0.5 	-6.0916 	-1.8588e-18 	1.02118 	-0.0143651 	5.44427e-22
0.5 	-5.80901 	-1.13074e-18 	1.0238 	-0.01537 	8.66836e-22
0.5 	-5.52643 	6.38227e-19 	1.02681 	-0.0164545 	-1.81575e-21
0.5 	-5.24388 	3.25601e-19 	1.03026 	-0.0176309 	2.63857e-21
0.5 	-4.96133 	1.22736e-18 	1.03424 	-0.0189162 	-1.38128e-21
0.5 	-4.6788 	9.14882e-19 	1.03884 	-0.0203338 	2.00313e-21
0.5 	-4.39628 	-3.9078e-18 	1.04417 	-0.0219161 	-1.59673e-21
0.5 	-4.11378 	-4.56706e-18 	1.0504 	-0.0237099 	1.30402e-21
0.5 	-3.83129 	-4.18542e-18 	1.05769 	-0.0257806 	-9.68615e-23
0.5 	-3.54881 	-6.57926e-18 	1.06629 	-0.0282245 	-5.65706e-21
0.5 	-3.26635 	-6.5444e-18 	1.07652 	-0.0311838 	1.31261e-20
0.5 	-2.98391 	-6.50947e-18 	1.08877 	-0.0348452 	-4.33443e-22
0.5 	-2.70148 	-1.20256e-17 	1.10362 	-0.0395041 	1.53175e-21
0.5 	-2.41906 	-1.75416e-17 	1.12193 	-0.0457209 	-2.39256e-20
0.5 	-2.13666 	-1.64656e-17 	1.144 	-0.0531052 	2.69732e-20
0.5 	-1.85427 	-1.53895e-17 	1.17372 	-0.0658714 	-3.17099e-20
0.5 	-1.5719 	-1.6395e-17 	1.20829 	-0.0761929 	4.27454e-20
0.5 	-1.28954 	-1.56658e-17 	1.25145 	-0.0995951 	-7.07362e-20
0.5 	-1.00719 	-1.42425e-17 	1.31462 	-0.118676 	1.19514e-20
0.5 	-0.839013 	-1.31839e-17 	1.2423 	-0.112628 	-1.03982e-19
0.5 	-0.790967 	-1.48239e-17 	1.1778 	-0.106135 	-4.692e-19
0.5 	-0.765098 	-1.56713e-17 	1.09485 	-0.086515 	-7.53959e-20
0.5 	-0.734951 	-1.50721e-17 	0.990323 	-0.0765814 	-9.75454e-21
0.5 	-0.698915 	-1.52656e-17 	0.867224 	-0.0642347 	5.22845e-19
0.5 	-0.674307 	-1.6742e-17 	0.737318 	-0.050197 	2.56612e-19
0.5 	-0.638936 	-1.89592e-17 	0.604349 	-0.0413298 	-2.36899e-21
0.5 	-0.61502 	-2.14017e-17 	0.479879 	-0.0379639 	-2.03855e-21
0.5 	-0.588946 	-2.196e-17 	0.365331 	-0.034718 	4.10001e-19
0.5 	-0.560303 	-2.08167e-17 	0.264046 	-0.0329615 	-6.76854e-19
0.5 	-0.536953 	-2.25514e-17 	0.187119 	-0.0429983 	7.34495e-20
0.5 	-0.5093 	-2.42861e-17 	0.118193 	-0.0440807 	-1.10325e-19
0.5 	-0.486141 	-2.42861e-17 	0.0738113 	-0.0599189 	-5.11672e-19
