-0.365781 	0.365781 	-5.20417e-18 	0.0311055
-0.390691 	0.390691 	-3.46945e-18 	0.0238682
-0.416526 	0.416526 	-3.46945e-18 	0.0252242
-0.443321 	0.443321 	-1.73472e-18 	0.035106
-0.471111 	0.471111 	-3.46945e-18 	0.0503913
-0.499935 	0.499935 	-5.55112e-18 	0.068265
-0.529829 	0.529829 	-4.16334e-18 	0.0865068
-0.560834 	0.560834 	-1.75186e-17 	0.196369
-0.560834 	0.560834 	-4.16334e-18 	0.103547
-0.59299 	0.59299 	-1.94289e-17 	0.204896
-0.59299 	0.59299 	-3.81639e-18 	0.118468
-0.626342 	0.626342 	-4.16334e-18 	0.13088
-0.660933 	0.660933 	1.38778e-18 	0.140756
-0.696809 	0.696809 	6.93889e-18 	0.148277
-0.734018 	0.734018 	9.71445e-18 	0.153723
-0.772609 	0.772609 	1.11022e-17 	0.157398
-0.812635 	0.812635 	1.2837e-17 	0.159587
-0.854147 	0.854147 	1.04083e-17 	0.16055
-0.897202 	0.897202 	3.1225e-18 	0.16053
-0.941857 	0.941857 	-3.1225e-18 	0.159743
-0.98817 	0.98817 	-7.63278e-18 	0.15803
-1.0362 	1.0362 	-1.14492e-17 	0.153481
-1.06066 	1.06066 	-1.21431e-17 	0.141128
