0.365781 	0.365781 	-2.7433e-18 	0.00428947 	-0.00178748 	2.98876e-19
0.389485 	0.389485 	-5.46307e-18 	0.0243009 	-0.00970465 	-2.85594e-19
0.400961 	0.400961 	-5.41918e-18 	0.00976704 	-0.000619789 	-1.43735e-20
0.402167 	0.402167 	-4.46906e-18 	0.0243009 	-0.00970465 	-2.85594e-19
0.416526 	0.416526 	-2.72884e-18 	0.0564601 	-0.0171862 	-2.29213e-19
0.4365 	0.4365 	-1.38228e-18 	0.0980517 	-0.0240682 	-6.52815e-19
0.443321 	0.443321 	0 	0.0597404 	-0.010743 	3.28817e-20
0.450142 	0.450142 	1.85618e-19 	0.0980517 	-0.0240682 	-6.52815e-19
0.471111 	0.471111 	-1.04246e-18 	0.147146 	-0.0301927 	5.71886e-19
0.499935 	0.499935 	-2.08267e-18 	0.202373 	-0.0352556 	7.94386e-19
0.529829 	0.529829 	-1.60658e-18 	0.262551 	-0.0390585 	-4.00738e-19
0.560834 	0.560834 	4.99205e-19 	0.326602 	-0.041517 	4.66517e-19
0.59299 	0.59299 	-2.14812e-18 	0.393526 	-0.0426162 	-1.63881e-19
0.626342 	0.626342 	-5.85903e-18 	0.462383 	-0.0423898 	4.99563e-20
0.660933 	0.660933 	-4.06747e-18 	0.532266 	-0.0409085 	8.22477e-19
0.696809 	0.696809 	-3.31926e-18 	0.602302 	-0.0382698 	-1.11707e-18
0.734018 	0.734018 	-1.94642e-18 	0.671652 	-0.0345882 	-3.98908e-20
0.772609 	0.772609 	2.85787e-18 	0.739523 	-0.0299834 	2.28737e-19
0.812635 	0.812635 	5.83659e-18 	0.805182 	-0.0245704 	8.3702e-20
0.854147 	0.854147 	1.05986e-17 	0.867979 	-0.0184451 	-8.47008e-20
0.897202 	0.897202 	1.76403e-17 	0.927389 	-0.0116259 	2.42681e-19
0.941857 	0.941857 	2.14256e-17 	0.983086 	-0.00391001 	-1.33654e-19
0.98817 	0.98817 	2.03308e-17 	1.03473 	0.0046906 	-7.5119e-19
1.0362 	1.0362 	1.71555e-17 	1.08127 	0.0114638 	6.82118e-19
1.06066 	1.06066 	1.72747e-17 	1.15934 	0.0253725 	-2.63489e-19
